stat,window,avg_type,mae,rmse,r2
FG3M,32.0,ewma,2.7126019071470795,3.4172015554451187,0.28833663483809524
FG3M,33.0,ewma,2.712534765116252,3.4172239952849615,0.2883272882051201
FG3M,34.0,ewma,2.712509925758024,3.4173079402664297,0.28829232293128004
FG3M,35.0,ewma,2.71251295269195,3.4174471871193797,0.2882343210917697
FG3M,36.0,ewma,2.71255058008458,3.4176362707660326,0.2881555564666367
FG3M,37.0,ewma,2.7126145435751203,3.417870361659251,0.2880580375996237
FG3M,38.0,ewma,2.712719100512523,3.4181451795213147,0.2879435439452567
FG3M,39.0,ewma,2.712856511225081,3.4184569205245676,0.2878136563572905
FG3M,40.0,ewma,2.713008864836937,3.4188021955489676,0.2876697829189264
FG3M,41.0,ewma,2.71317673668907,3.4191779776144786,0.28751318091843847
FG3M,42.0,ewma,2.71335632402498,3.4195815569496806,0.2873449756195554
FG3M,43.0,ewma,2.7135425723480413,3.420010502445116,0.2871661763542075
FG3M,44.0,ewma,2.7137331241728337,3.4204626284681074,0.28697769036859155
FG3M,45.0,ewma,2.7139303248230715,3.4209359661982455,0.2867803347763299
FG3M,46.0,ewma,2.7141380749019572,3.4214287387894404,0.28657484691051194
FG3M,47.0,ewma,2.7143703946123594,3.421939339782923,0.28636189331638084
FG3M,48.0,ewma,2.7146139427076514,3.4224663142918974,0.28614207758582466
FG3M,49.0,ewma,2.7148739767383314,3.4230083425570363,0.28591594720174185
FG3M,50.0,ewma,2.7151470149973216,3.4235642255364875,0.285683999533233
FG3M,17.0,ewma,3.0707639737212147,3.9368943905655596,0.055415208923820014
FG3M,18.0,ewma,3.0707639737212147,3.9368943905655596,0.055415208923820014
FG3M,19.0,ewma,3.0707639737212147,3.9368943905655596,0.055415208923820014
FG3M,20.0,ewma,3.0707639737212147,3.9368943905655596,0.055415208923820014
FG3M,21.0,ewma,3.0707639737212147,3.9368943905655596,0.055415208923820014
FG3M,22.0,ewma,3.0707639737212147,3.9368943905655596,0.055415208923820014
FG3M,23.0,ewma,3.0707639737212147,3.9368943905655596,0.055415208923820014
FG3M,24.0,ewma,3.0707639737212147,3.9368943905655596,0.055415208923820014
FG3M,25.0,ewma,3.0707639737212147,3.9368943905655596,0.055415208923820014
FG3M,26.0,ewma,3.0707639737212147,3.9368943905655596,0.055415208923820014
FG3M,27.0,ewma,3.0707639737212147,3.9368943905655596,0.055415208923820014
FG3M,28.0,ewma,3.0707639737212147,3.9368943905655596,0.055415208923820014
FG3M,29.0,ewma,3.0707639737212147,3.9368943905655596,0.055415208923820014
FG3M,30.0,ewma,3.0707639737212147,3.9368943905655596,0.055415208923820014
FG3M,31.0,ewma,3.0707639737212147,3.9368943905655596,0.055415208923820014
FG3M,32.0,ewma,3.0707639737212147,3.9368943905655596,0.055415208923820014
FG3M,33.0,ewma,3.0707639737212147,3.9368943905655596,0.055415208923820014
FG3M,34.0,ewma,3.0707639737212147,3.9368943905655596,0.055415208923820014
FG3M,35.0,ewma,3.0707639737212147,3.9368943905655596,0.055415208923820014
FG3M,36.0,ewma,3.0707639737212147,3.9368943905655596,0.055415208923820014
FG3M,37.0,ewma,3.0707639737212147,3.9368943905655596,0.055415208923820014
FG3M,38.0,ewma,3.0707639737212147,3.9368943905655596,0.055415208923820014
FG3M,39.0,ewma,3.0707639737212147,3.9368943905655596,0.055415208923820014
FG3M,40.0,ewma,3.0707639737212147,3.9368943905655596,0.055415208923820014
FG3M,41.0,ewma,3.0707639737212147,3.9368943905655596,0.055415208923820014
FG3M,42.0,ewma,3.0707639737212147,3.9368943905655596,0.055415208923820014
FG3M,43.0,ewma,3.0707639737212147,3.9368943905655596,0.055415208923820014
FG3M,44.0,ewma,3.0707639737212147,3.9368943905655596,0.055415208923820014
FG3M,45.0,ewma,3.0707639737212147,3.9368943905655596,0.055415208923820014
FG3M,46.0,ewma,3.0707639737212147,3.9368943905655596,0.055415208923820014
FG3M,47.0,ewma,3.0707639737212147,3.9368943905655596,0.055415208923820014
FG3M,48.0,ewma,3.0707639737212147,3.9368943905655596,0.055415208923820014
FG3M,49.0,ewma,3.0707639737212147,3.9368943905655596,0.055415208923820014
FG3M,50.0,ewma,3.0707639737212147,3.9368943905655596,0.055415208923820014
FG3A,17.0,ewma,4.559916388295954,5.755671774393907,0.5133049609749687
FG3A,18.0,ewma,4.558859832766301,5.754797713901315,0.5134527694746123
FG3A,19.0,ewma,4.558350173767103,5.75454347040194,0.5134957592525755
FG3A,20.0,ewma,4.558345178400436,5.754802443141343,0.5134519697941724
FG3A,21.0,ewma,4.558694894576321,5.755489349795188,0.5133358118447404
FG3A,22.0,ewma,4.559266589406487,5.756535282770727,0.5131589148537592
FG3A,23.0,ewma,4.560068227463691,5.75788406655173,0.5129307497319788
FG3A,24.0,ewma,4.561094017402264,5.759489535662944,0.5126590931143167
FG3A,25.0,ewma,4.562285623965137,5.761313474343509,0.5123503780199494
FG3A,26.0,ewma,4.563654248423028,5.763324038666245,0.5120099618931079
FG3A,27.0,ewma,4.565195555661265,5.765494535033384,0.511642333752079
FG3A,28.0,ewma,4.566843186336389,5.767802465114347,0.5112512759062195
FG3A,29.0,ewma,4.568548977194638,5.7702287722209125,0.5108399913891293
FG3A,30.0,ewma,4.570325584884533,5.772757241560087,0.5104112052469019
FG3A,31.0,ewma,4.572180205756241,5.775374019173125,0.509967245692004
FG3A,32.0,ewma,4.574086705797192,5.778067223244919,0.5095101096092938
FG3A,33.0,ewma,4.576034222051848,5.780826627909831,0.5090415157968133
FG3A,34.0,ewma,4.578034313801427,5.783643404405156,0.5085629485157992
FG3A,35.0,ewma,4.580103854606692,5.786509907923909,0.5080756933266494
FG3A,36.0,ewma,4.582206186108114,5.789419501136277,0.5075808667413586
FG3A,37.0,ewma,4.5843360112339955,5.79236640732402,0.5070794408867555
FG3A,38.0,ewma,4.586485083978628,5.7953455875746425,0.5065722641174768
FG3A,39.0,ewma,4.588655809874141,5.798352637634474,0.5060600783219986
FG3A,40.0,ewma,4.590835093069481,5.801383700910228,0.5055435335140728
FG3A,41.0,ewma,4.593025442922282,5.804435394801623,0.5050232001845508
FG3A,42.0,ewma,4.595251864436659,5.807504748090727,0.5044995797967042
FG3A,43.0,ewma,4.597516739720971,5.810589147542059,0.5039731137357526
FG3A,44.0,ewma,4.599806562693278,5.8136862922074055,0.5034441909659232
FG3A,45.0,ewma,4.602097484627497,5.816794154200722,0.5029131546025725
FG3A,46.0,ewma,4.604384800354581,5.8199109449263124,0.5023803075701931
FG3A,47.0,ewma,4.606678609687092,5.823035085919278,0.5018459174875136
FG3A,48.0,ewma,4.609000517520141,5.826165183599826,0.5013102208969069
FG3A,49.0,ewma,4.611343851131604,5.829300007359168,0.50077342693578
FG3A,50.0,ewma,4.613683083083846,5.832438470489848,0.5002357205316394
FG3A,17.0,ewma,6.163417187590434,7.834568132327729,0.0982316190013891
FG3A,18.0,ewma,6.163417187590434,7.834568132327729,0.0982316190013891
FG3A,19.0,ewma,6.163417187590434,7.834568132327729,0.0982316190013891
FG3A,20.0,ewma,6.163417187590434,7.834568132327729,0.0982316190013891
FG3A,21.0,ewma,6.163417187590434,7.834568132327729,0.0982316190013891
FG3A,22.0,ewma,6.163417187590434,7.834568132327729,0.0982316190013891
FG3A,23.0,ewma,6.163417187590434,7.834568132327729,0.0982316190013891
FG3A,24.0,ewma,6.163417187590434,7.834568132327729,0.0982316190013891
FG3A,25.0,ewma,6.163417187590434,7.834568132327729,0.0982316190013891
FG3A,26.0,ewma,6.163417187590434,7.834568132327729,0.0982316190013891
FG3A,27.0,ewma,6.163417187590434,7.834568132327729,0.0982316190013891
